6,4,7,3,1,2,4,1,2,7,1,5,7,5,6,6,3,3,1,3,4,4,1,5
1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5
1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5
7,5,8,5,2,4,6,2,3,8,3,6,8,7,7,8,5,4,3,4,6,5,3,7
2.851388809967466e-8,1.2639871204378009e-8,1.5040228115850203e-7,1.0030038418565524e-7,9.404676660271505e-8,1.757231661384514e-8,3.799095814410587e-8,2.2569976288228598e-8,4.536477569772399e-8,1.0662468510189876e-7,5.919156499750512e-8,1.212510100675881e-8,8.095365190336035e-8,7.174088252998608e-8,1.4368520554350259e-9,5.229516646625876e-8,3.8533045680104044e-8,8.888493560876329e-8,2.87028896371211e-8,2.3008590568848365e-8,2.636665322118474e-8,3.2015467116644946e-8,7.793275974893478e-8,6.417313660404184e-8
2.851388809967466e-8,1.2639871204378009e-8,1.5040228115850203e-7,1.0030038418565524e-7,9.404676660271505e-8,1.757231661384514e-8,3.799095814410587e-8,2.2569976288228598e-8,4.536477569772399e-8,1.0662468510189876e-7,5.919156499750512e-8,1.212510100675881e-8,8.095365190336035e-8,7.174088252998608e-8,1.4368520554350259e-9,5.229516646625876e-8,3.8533045680104044e-8,8.888493560876329e-8,2.87028896371211e-8,2.3008590568848365e-8,2.636665322118474e-8,3.2015467116644946e-8,7.793275974893478e-8,6.417313660404184e-8
