3,7,1,6,5,1,3,1,5
1,1,1,2,2,2,3,3,3
1,1,1,2,2,2,3,3,3
4,8,3,7,7,3,5,3,6
5.5092205778448114e-11,2.0278900025907464e-7,2.2224182283664468e-8,4.1810274277966626e-7,7.203263917930193e-9,1.0165302623499752e-7,7.28073023509178e-8,4.85025948583399e-8,3.052146560313938e-7
5.5092205778448114e-11,2.0278900025907464e-7,2.2224182283664468e-8,4.1810274277966626e-7,7.203263917930193e-9,1.0165302623499752e-7,7.28073023509178e-8,4.85025948583399e-8,3.052146560313938e-7
